"","0h_01","0h_02","0h_03","0h_04","0h_05","0h_06","4h_01","4h_02","4h_03","4h_04","4h_05","4h_06","24h_01","24h_02","24h_03","24h_04","24h_05","24h_06"
"2-ketoglutaric acid",13.9489171925628,13.869115809633,14.0934721208337,14.3670268949618,14.6682573828825,14.089107620714,12.3946615565762,12.8544846752631,12.8075729300553,12.9094079869346,12.8933805041163,13.2833262780755,13.0236161966812,12.957013833086,12.8581007629937,13.1574617526435,12.8236206944035,12.9331714055709
"4-methyl-2-oxopentanoic acid",13.4639493360939,13.7396019312633,13.2970082947313,13.5463281958431,14.1159425486129,13.6882323070284,12.7623454322472,12.9032442746189,13.0633625326426,12.6412153674874,12.3413532318243,12.879458574201,13.8359876264505,14.1563838195132,13.4944901666999,13.3914930678905,14.0137909890815,13.3446151049471
"3-hydroxyisobutyric acid",22.0731179283771,22.4044156464203,19.9576806301349,22.0392819747842,22.0615025495863,21.1250558785634,18.4120698851744,19.4688040350912,19.2266270714919,18.2029333234342,NA,18.8317060482388,18.6843768947751,20.6512522475194,19.052943901078,NA,20.7066728670047,19.4737090948678
"acetoacetic acid",24.7673618282461,23.8677167596732,24.16079300402,24.5154786279538,24.5778300079557,23.8671704693349,20.8720155690395,20.8376394336051,21.001628609151,21.1586614547582,20.6915407417764,21.1775054717494,21.1329921304468,21.4969055136254,21.0225936052558,21.1547103360681,21.3958104292303,21.3257578982178
"3-ureidopropionic acid",8.35857878303625,9.51747477945988,9.29946205736425,8.10650444998142,9.10883888168009,9.58922419615528,NA,NA,NA,NA,NA,NA,7.49919003472788,7.49127281907171,7.44122940115695,NA,NA,7.44824759315251
"4-aminobutyric acid",13.1556576247822,12.965962395289,12.7761729979818,12.8990038382695,13.0065826087307,12.9839601371781,12.9021271946101,13.2739151593595,12.8394052607234,12.3937976698294,12.8750968677175,13.1887370037765,12.6592984550083,12.5945494958801,12.7715808992586,13.4635082271551,12.4348336070815,13.1882506439765
"5-aminolevulinic acid",18.8991127989533,17.3601025996475,17.5674685421939,18.7251162581501,19.4784737188049,17.8489405908999,NA,18.1874134720777,15.8519844345407,NA,NA,NA,NA,NA,28.4795399442663,NA,15.4646432636,NA
"5-hydroxytryptophan",7.42131733142743,7.19936140466086,7.2166688215577,6.00091503619031,7.40419882259558,7.31150903616584,4.03986519308329,5.62962164329683,6.36374846089406,7.80360760298152,4.20475931496643,6.97077278570467,6.41898084910265,7.23362721134669,7.65226770136945,7.05882828443405,7.4282793979471,6.99484965444702
"2-(6-aminopurin-9-yl)-5-(methylsulfanylmethyl)oxolane-3,4-diol",14.1323236522527,14.8152623234247,14.3958046194414,14.0037814618482,13.928444700811,14.1529070842677,13.8461191659756,13.6285204480591,13.5529587228481,13.6262188277912,13.4819286530168,13.9645139465166,13.2076597895746,13.7815330068582,13.7573083949832,13.8022079631634,13.4701365434832,NA
"adenine",8.90900536790142,9.06046691863449,9.07711035361717,9.10287486390046,8.5308564029599,8.40105715341349,11.8830902594417,11.2693380266753,11.1084590315575,NA,11.072193607502,11.3176119502597,8.383991152069,8.15978343613973,7.76160169530587,8.4943285168167,8.70201136017902,8.81259149691687
"beta-alanine",20.7442294064888,20.8017643452962,20.8739140948231,21.2426628954507,21.2781988965422,20.9048994399617,21.0989302817234,NA,NA,21.1329702338782,NA,21.6651273459498,21.4271277008799,21.7682580310861,21.5298024905727,21.7361832019308,21.8271874773436,21.5163768131732
"betaine",11.9651815663412,11.8406290142854,12.0835845451613,11.9601093215802,11.711611300979,12.1974512741928,11.6091604461861,11.4668602448387,12.0582424622764,11.5139848838863,12.2034121831266,12.1964746443079,12.0868193542318,12.1160521453547,12.126824857689,12.4219435352637,12.0861208390738,11.8223404310441
"citric acid",19.4014870880568,18.9568137456054,19.075561550664,19.4109716758532,19.3862156666328,19.2590507384749,17.7307359424195,17.4268836027393,17.9028558232069,17.6910167899208,17.6037406967521,18.3354579297161,17.5621640845347,17.7815111360443,17.3432631643454,17.8132267284883,17.706191009015,17.2869435500897
"octanoic acid",23.2634682413601,22.8053446836458,21.1320728706674,22.8575105266604,22.725600123525,22.1568605510326,21.2910232730465,20.8350689740433,20.7312406585989,21.2292191993872,19.2690603432641,21.4379784772133,NA,20.8240988015007,NA,NA,20.8799743348138,19.5968393985551
"4-guanidinobutyric acid",17.4961973234981,17.2478271743924,18.1615749829711,16.62779311682,16.8815523703669,17.374740358382,18.7457543370837,18.3184931689865,NA,18.0241154669176,19.2612031631912,18.9417121783389,18.0517503747228,18.6438116913155,17.8815367336071,18.9078564168109,17.9443327953779,18.2243699188148
"creatine",14.9942011020552,14.734627815976,14.8536633836591,15.1283446561533,15.1185900372042,15.2276752841574,14.3918349758533,13.9949473407451,14.6478660235369,14.4982761648399,14.5739161956908,14.7103340066165,14.1724363223101,14.4658240040117,14.4989033302598,14.5751180508798,14.3754035810111,14.177902687502
"dihydroxyacetone phosphate",12.3071954252138,11.8821202149483,11.874255876467,12.2364097274059,12.1698174778325,11.6140426564089,11.024749332495,11.6311025930712,11.6042994842419,11.5321727941674,11.7917243853626,11.8607426619365,12.2453062802659,12.2640593132132,12.0738775478774,12.2488344121247,13.0139494357178,12.2861220123014
"3-phosphoglycerate",6.52515233226026,6.83213857935518,6.46648014215735,6.32694912131673,6.38000706158242,6.52000726991308,6.85853316057229,6.65149768631473,6.58804816715196,6.83299526884909,6.44857047569038,7.08078136892803,6.59375601868778,6.87758807466508,6.72875061868464,7.05546284570979,7.72513942079342,6.35395605048372
"glycine",31.3517914074885,30.877265009584,30.460756357404,31.0963326784592,29.1128712018515,29.0051715601007,29.5902291549121,26.1924799316897,29.5710653351295,29.7961117690108,29.2677645877972,29.9435467743164,28.1433835074095,29.8666212720823,29.6186937546596,29.2693960904315,29.918297139848,29.7221408249797
"indole-3-acetic acid",12.1299016507181,12.1509679746378,10.181737918139,9.97026375999064,13.2565832803974,13.2650013010416,11.2866975853633,10.8346221268502,10.7678833011946,11.3731092563805,9.95543968050293,11.2122179741215,12.2525099139595,12.5261712594251,11.8633412608932,11.8833951705989,12.1552722409953,11.844304599411
"itaconic acid",9.0617293251644,9.61517608534535,11.2472411060633,8.76440583416561,6.12694355039138,11.3563711830901,9.64952202033874,NA,4.61039923665193,NA,9.36073558203494,8.25702274797954,7.49776238389272,6.78046351242138,NA,9.65447498416521,8.14889107463081,8.00018837605937
"kynurenine",19.4610632713046,20.4365661953341,NA,20.3130177630317,20.5623029871663,20.4157937093025,19.5851470568445,19.4851781233422,20.1952823521866,19.173734061083,19.6496661568711,20.0966862907778,19.5986126860782,19.9008396671488,19.7977155749323,19.7085722812583,19.8704059162968,19.1899499776898
"3-(2-hydroxyphenyl)propanoic acid",9.44666322321572,8.81398988311942,9.933726385847,10.2193953978853,8.17076545906859,7.78863563690012,10.4798077345805,8.2139745188972,7.6175592886716,7.65336641319381,9.1705500779427,9.77234610863046,9.16209327317941,7.76618748382074,6.88071056285469,10.0649717942767,7.39662492825602,7.635373930405
"melatonin",18.3736752320666,18.6418708799101,NA,19.7391079150466,19.0982795464917,18.8119632079124,13.9195401409709,20.2017222713018,19.3060952469128,18.95486847647,18.8403463635523,19.2025278912521,NA,19.3697438687295,18.876651340142,18.4641728025088,18.8991210225854,19.2846136748369
"n-acetyl-5-hydroxytryptamine",9.42486073584619,9.02004904146295,9.2515131244304,9.48570557911717,9.63921373341884,9.02111282679719,9.37436298645597,7.60028524666561,9.20451490298789,9.55370747511856,9.21993853955639,9.10321701520333,9.08868415796204,9.19842158488205,9.18685153576286,9.27077873592151,8.7604435212371,9.03526111263493
"n-formylkynurenine",19.1935868867813,19.2537577296121,19.2761997589441,19.4572150407376,19.7566566840318,19.4149678626484,18.420995262632,NA,19.0747179195389,18.7939363508308,18.3967884350122,18.9490292068277,18.2634616740417,18.8462966054192,18.4978720510491,18.5042822828142,19.0628034934938,NA
"nicotinic acid",20.5959055927276,20.8926901569725,21.6361604887882,21.5497063276652,21.734168479585,21.6181431089545,21.1465326248184,21.0040174893677,NA,19.3871662246938,NA,NA,21.4853080889016,21.6305688746325,21.0255284315718,21.9142892808394,20.4057872275507,18.9353916588741
"orotic acid",NA,NA,NA,NA,4.87268910038773,NA,8.74554257682285,NA,6.86819604408468,NA,NA,6.88277689101962,NA,NA,NA,NA,8.33807524862418,6.52265658114295
"palmitic acid",19.4281925917065,18.3596665020933,17.7714702963285,17.6175280565248,16.3657134069978,16.7747631019771,19.4144210833284,19.0902680774619,18.5619131100721,18.3912798644801,18.3235199524608,17.5868340666809,18.6971199588606,16.9854865037427,16.6573928603539,16.7101900739349,17.6616421033008,17.1413373601354
"phosphoenolpyruvate",11.7605555498595,11.483833485935,10.8894562723119,11.9446248306195,11.6610904777212,11.3868470489553,10.909129687907,11.622863468192,11.3907672672886,11.3059934993941,11.2660831660892,11.6325729526402,11.9944244839506,12.1006280621085,11.7201327777813,11.8549845871984,11.3639118213225,11.4396726675399
"2-aminoethyl dihydrogen phosphate",12.559524120572,12.2812719514602,12.3913700665045,12.9510834650101,12.5863838547786,12.4831491873428,11.7919970542903,12.8923798016826,12.2191984569814,12.1919180599828,12.450715603468,12.6067701334533,12.4302934538794,12.5427163671389,12.6760313833924,13.1111401846826,12.5871754351119,12.77548127888
"pyridoxamine",18.2807343145117,17.6196070641467,18.002845933779,18.5272220923738,17.9891711443556,16.2650772621869,15.0806593969683,19.2310186302293,16.8087904721019,16.4475015737538,NA,17.915519373062,18.7833183618708,18.6023027584569,18.5140395746242,18.0164999326325,18.8076215264305,18.726451579367
"pyruvic acid",24.4331205472944,24.3008170974292,NA,25.8391670162055,26.1230770942586,24.6170843965416,NA,22.2030091656395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"succinic acid",24.337660160549,24.167189783229,23.1309264860684,24.1648986273803,23.7446267268506,23.6025494478495,21.3795150871845,20.6765259273316,21.984528508723,22.0795093238143,19.930380245463,21.8872075322969,20.5405795254515,22.164312471452,21.4771112534227,20.2806186402412,22.6174942284208,21.3618376229995
"taurine",17.015938310138,16.6677859217231,16.8402705066102,17.1889281331366,17.0199388739943,17.2071317803858,16.4984862078156,17.026700605494,16.91504209557,16.7680977715941,16.8957152686004,17.1043500605127,16.9940227393564,16.846417309266,16.7385964535539,17.3849740312257,16.8737959067772,17.0214131054526
"uridine diphosphate-n-acetylgalactosamine",12.9803982818002,13.5958155190683,13.5319102977405,13.7979442207923,13.9519730359618,13.9989691668032,12.7599899934223,18.1297969297893,12.2263574157011,12.4176081828089,12.6687511286569,12.8674338745685,12.230155188661,12.0009728514354,18.1309473453876,11.8066173662452,11.9206084362018,17.7040652161843
"uric acid",17.2532815060973,17.2950219265132,17.172849796903,17.279994132214,17.5078302418948,17.4145896384049,15.1003718803432,14.8778429167067,15.3554109140291,14.9690421438352,15.3565600108018,15.5519625934977,15.0264666456587,15.3247369656691,14.7735641862954,15.0184728312793,15.1292529555205,14.8432105236888
"xanthine",8.16593178037704,9.37266760192479,8.49181181302042,8.50375490390472,8.28863277186071,8.62046180035024,4.42316279989504,8.49998981384173,7.05355648476977,NA,7.80872567401684,8.57287832079143,NA,NA,NA,NA,NA,NA
"5-hydroxyindole-3-acetic acid",12.4307512257893,12.2391293837752,12.4236909695595,12.326928196434,11.9279516630689,12.503648751332,11.828223832846,10.7911177165125,11.4579274168947,11.6355616565117,12.0952483980967,11.5657946580661,11.4661763741299,11.9096094185902,11.2931226365133,11.8326415182048,11.1786551659966,11.1814247675278
"decanoic acid",11.617988852981,12.8072682740253,12.1290502798701,12.2797169050937,NA,NA,10.6719092766957,NA,NA,9.09225571065769,NA,9.01372971257315,10.1846319717059,NA,NA,NA,12.9723790889732,11.5085530125672
"kynurenic acid",12.1783930460558,11.8938888400085,11.5802933561965,11.6417539582943,11.3264003289946,12.3067140352242,11.3049545820412,11.3436854410907,9.92785066126786,12.0281784802448,9.886621795619,11.9011842666916,10.7327087579553,11.2858319993536,11.0643517454504,11.5502056294999,10.2978183981375,10.4518766559146
"serotonin",22.3077260407592,22.1515249503304,22.2599754269615,22.6751036248833,22.801051946511,NA,22.3943515111239,22.7128641913506,23.008509464491,22.4123256572469,22.4919189199417,22.8513669751391,22.5292771682768,NA,22.6464316652515,22.7307104078255,22.7808789579573,22.7112373358844
"stearic acid",18.333718826646,17.4055937530321,16.4599491611652,16.2902281489246,15.2604810055282,15.8969184469016,18.4094426681095,17.212298019988,16.6412535802576,16.8233714971647,16.3740543656243,16.1127205882662,17.7223127910905,16.0707586519142,15.8710246817893,16.2273571290692,16.9817798320992,16.3399933557549
"tyramine",18.379245932866,18.7821416606018,18.5509508251394,NA,18.0923822640988,20.1413681826328,19.0916316313833,NA,19.3393238237099,NA,19.7847262147238,19.8997818511052,17.6047237499911,18.5227202708109,NA,19.1693408096734,19.2766838628543,17.8644753911534
"xanthurenic acid",NA,6.17234986906044,6.87037674569117,NA,NA,7.73863443942791,8.14518440582828,NA,NA,NA,3.32102133064504,7.80501765368656,NA,NA,NA,8.98884802439956,NA,NA
"thymidine",9.32534039419919,9.32745672423907,9.5082211923631,9.71719583631188,9.39855380132479,9.41040815502016,8.28948619687026,9.35465296951879,8.50353528788961,8.20963759138413,8.99997108917245,9.21231706377532,8.42564262861842,8.48126193390405,8.56307733546364,8.33619652581272,8.92899624461402,8.71045834686866
"d-glc",13.0711607020022,15.1975990917882,14.192301521479,11.9078590646138,14.4060058044666,15.0414034890532,NA,NA,NA,NA,NA,NA,12.383898515448,13.3932399266207,12.3656413296924,NA,NA,10.8052348511361
"l-cysteine",NA,6.42065453330311,NA,NA,NA,5.88243758615518,NA,NA,NA,NA,NA,5.28947386584244,NA,NA,NA,NA,NA,NA
"nadide",17.1170684106734,17.1033147480312,17.1492519742898,16.9855523185179,17.010528924308,17.0441163187441,16.6769542330879,16.4150546607889,16.6110590366942,16.57939283374,16.3610758376037,16.6725190130002,16.5584296539979,16.611646427798,15.8190184049508,16.7028739344477,16.551025779383,16.4511492433628
"nicotinamide adenine dinucleotide",15.5416168061634,15.4367040192983,15.7275687962609,16.0012327383718,15.992599420754,16.0127972874999,14.8146342845428,14.8404889323345,15.303327740443,15.1736220411635,15.1973932930124,15.3639939802523,15.292793202817,15.3475883331861,15.2532776659656,15.2971875543181,15.2500555445391,15.1205518424142
"l-alanine",20.6974192669449,20.8273751864659,20.8838339523896,21.1854290355499,21.218056187293,20.8670580940478,21.1241728588158,21.6698186850676,21.6136751971099,21.0870535794222,21.378338075971,21.6976970407245,21.6236051119872,21.5295199839167,21.290970383004,21.5973515479704,NA,21.6808011622706
"l-serine",12.3488891633997,12.2237884863831,12.1004814753996,13.0689598169392,12.8591682533555,12.8421925535699,11.3463694237565,11.2719430036607,11.5408598782343,11.0415670372721,11.3362660147119,11.564506155102,10.7457079147947,NA,11.0236865353374,11.4306391302497,11.3896421419571,11.4545570734056
"adenosine triphosphate",12.2491209198563,12.4571326564547,12.5261065290948,12.3215105571309,12.6268082733316,12.7462802981568,13.0764822570836,12.540991910136,12.5385569549847,12.470852674769,12.6304116867495,13.0589810487504,12.2171828752527,12.6188564228771,12.8571053217426,12.8968451946378,12.6524513135604,12.5734910132189
"glucose 6-phosphate",13.2435357455251,13.8757774334092,13.7393372377435,13.6982693826816,14.20822783388,13.7573008237199,13.2901321363926,13.5603860039495,13.1742117044072,13.096131936834,13.2376350497134,12.94660970711,14.0003699055827,14.1286604378129,14.141231456379,14.0648293036514,13.9894015456506,14.4902092611422
"l-aspartic acid",18.2416363760258,17.8818755359328,18.126381689875,18.4355540248218,18.1885690091902,18.3627072434747,17.1788491224458,17.2374261162993,17.2712700839043,17.2513422599403,17.2522316921656,17.6655896351938,17.3748409495229,17.263081913539,17.387656379717,17.8738124793823,17.2005105393608,17.5102966477635
"l-glutamine",17.4583658317882,17.0846431463358,17.0876442917529,17.640189251475,17.3931924688254,17.3941126096789,15.9266641890301,16.5359001423341,16.4482033100057,16.1325662115568,16.359119969369,16.645109075669,15.8412887590411,15.6880949312541,15.7654194827899,15.9580841277509,15.3670559580838,15.5368779733023
"l-lysine",20.8896892748066,22.6237810005586,20.8379268353745,21.3144609257947,21.0309190084653,20.4024412271493,16.67404872543,NA,18.1498316489487,NA,NA,NA,16.6926875733536,18.6166453965175,18.5350227564151,NA,18.6472923968614,18.0757087614641
"adenosine 5'-diphosphate",11.3158590867009,11.1610204988475,10.7840129868696,11.3649501043621,11.4563684292053,10.9950548941617,11.01625444203,11.4007272052501,11.1655163623532,11.774570845008,10.8890391255053,11.7340856970995,11.4191930656879,11.4590385070209,10.4473919743471,11.1894968168121,11.303282491217,11.6537193190179
"uridine",11.9621351600486,11.8460163504472,11.8145306681391,11.6932933380563,11.6254544890308,11.5688978539954,11.7498711897123,12.0997160224985,11.7855613585073,11.486468815569,11.6966060280451,11.8571379743886,11.8493907071584,12.1386406595452,11.7216922601703,11.8554386204037,11.9465956852055,12.1064324161121
"uridine 5'-monophosphate",9.17180905201148,9.67003744028953,10.2124796211382,9.66116733500747,9.70335001882419,9.65475609746454,6.80007711179342,NA,NA,NA,7.88814025107847,8.21215521563254,9.62040588432313,NA,NA,7.41766501056033,NA,9.64554684706922
"l-tyrosine",12.5944282355851,12.8959639231231,12.7011930653546,12.5042373066589,12.6953507615783,13.0035755433918,11.1309554517108,10.1677971371973,10.8959127570569,10.931103196916,10.2393726611807,11.4342123233568,12.099066300249,12.4079464929732,11.8108396169628,12.3709606400668,12.1830593551619,12.2845976704071
"adenosine 5'-monophosphate",9.44482253360058,9.25237743657346,9.29184670824896,8.8479281317558,8.47538365821869,9.61675470884022,9.61308009031245,8.8479281317558,7.99453915633246,9.14076122106774,8.10093078196944,10.1610981474658,8.45538248597475,9.5572000976116,14.147367024219,7.74029432494318,8.78496697264568,NA
