"","0h_01","0h_02","0h_03","0h_04","0h_05","0h_06","4h_01","4h_02","4h_03","4h_04","4h_05","4h_06","24h_01","24h_02","24h_03","24h_04","24h_05","24h_06"
"P03911",26.38970375,25.84642029,26.11163712,24.26528931,25.72418976,26.07712364,25.81389427,26.13795853,25.9706192,25.78969955,25.6866436,26.40838814,26.06527519,25.8008728,24.91406631,23.87314034,25.82259941,24.62935257
"Q7JD02",25.30655479,32.27539444,23.87797356,32.47759628,32.48538971,24.57630539,31.98131561,24.57217407,31.9764061,25.2667942,32.05093002,24.74257088,32.34056091,31.95695114,31.88965034,32.1672554,31.67745209,31.80858421
"P03921",27.66661644,27.07643127,27.87050056,27.48400688,27.42021179,27.6776123,27.21011162,28.01956177,27.28542137,27.72955513,26.98413658,28.0378952,27.41844368,27.34358788,27.28824043,26.89596748,27.37227249,25.06058311
"Q7JD03",32.13080978,31.79087067,32.02676773,31.91609383,32.08689117,31.82103539,31.71959305,31.97141266,31.82486916,31.86625481,31.49347687,31.7689209,31.87338638,31.62278938,31.80355072,31.61881256,31.74859238,31.58428001
"A0A6G7SF19",25.7601757,26.22086906,26.40334129,24.64636803,25.86445618,26.11884117,25.79822922,26.07852936,25.48025131,26.21660042,26.54040718,26.10203362,25.04799652,26.747015,26.48799706,25.41667938,26.35795021,26.42686462
"A0A068BEQ2",26.85792351,27.07948494,26.69112396,26.70041466,27.09677696,26.68819237,26.49918938,26.62226486,26.64622688,26.30626106,26.61974907,26.26974297,27.18773079,27.04218292,27.12119484,26.85578728,26.96521187,27.22775078
"Q5D0F3",25.87619209,24.45228767,25.93586731,24.94562721,24.6323185,25.9197979,23.81793213,25.59821129,26.32320213,25.73031807,24.43098259,26.10365677,25.97962952,25.91051865,26.07667542,26.42625618,26.1764183,26.42804718
"Q78ZJ8",29.62109566,29.64268494,29.47852135,29.69095802,29.75964165,29.49239731,29.4573822,29.37094307,29.55382156,29.59544754,29.42101479,29.38123322,29.37455368,29.26985931,29.42444229,29.37782478,29.28738213,29.39040565
"A0A068EW80",26.7203846,26.8595829,26.97869301,26.97213173,26.75493622,27.12425613,26.83545113,26.67667198,26.60653687,26.81994629,26.60512543,27.12652206,26.96829224,26.78431702,26.6511631,26.97015762,27.1132679,27.1627903
"A0A087WNP6",27.53615952,27.3475647,27.07479858,27.45920181,27.36894608,27.54074669,27.6827774,27.79488754,27.64030838,27.97623634,27.92874718,27.91107941,27.62051773,27.49358177,27.73608589,27.7425251,27.45763779,27.90563965
"A0A087WQE6",28.87856293,28.92705345,28.54008293,28.60112762,28.68237686,28.75296021,28.95141029,28.77442169,29.03391266,28.98939705,29.10577011,28.9765358,28.8175087,28.88209534,28.77548981,28.89657402,28.87797737,28.89049911
"A0A087WNV1",25.52378654,24.54712296,25.92698479,25.58348083,24.90424156,25.90850449,25.87942123,26.14903259,25.93750763,26.35502815,25.9958477,26.01580238,24.45119667,24.46739769,23.7936573,23.65746689,25.05140495,23.94968033
"Q80TV8",25.16361618,24.81473732,25.29375839,24.42430115,23.98789787,24.51804161,25.18279457,24.99204826,25.13969612,25.58216095,25.2691021,25.15127945,23.76255417,25.11735535,25.1097393,25.38713264,24.70549965,25.07608414
"A0A087WNZ7",26.14300919,25.9707737,26.22604179,26.33766365,26.31389046,26.3960743,26.23114204,26.18398857,26.09192467,26.08537483,26.13670731,26.14974976,26.03422737,26.15271187,25.84050179,25.75475693,25.93413544,25.92904091
"A0A087WQ25",27.10928726,27.05558586,27.37185669,26.92025375,26.98304939,27.22361374,27.18914413,27.07408333,27.15875053,27.16892242,27.03359604,27.28533363,27.05961418,26.8894825,27.03674316,26.62950897,27.06074905,26.91342163
