0h_01	0h_02	0h_03	0h_04	0h_05	0h_06	4h_01	4h_02	4h_03	4h_04	4h_05	4h_06	24h_01	24h_02	24h_03	24h_04	24h_05	24h_06	Only identified by site	Reverse	Potential contaminant	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	iBAQ peptides	MS/MS count	Peptides 0h_01	Peptides 0h_02	Peptides 0h_03	Peptides 0h_04	Peptides 0h_05	Peptides 0h_06	Peptides 4h_01	Peptides 4h_02	Peptides 4h_03	Peptides 4h_04	Peptides 4h_05	Peptides 4h_06	Peptides 24h_01	Peptides 24h_02	Peptides 24h_03	Peptides 24h_04	Peptides 24h_05	Peptides 24h_06	Protein IDs	Majority protein IDs	Protein names	Gene names	id
#!{Type}E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	C	C	C	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	T	T	T	T	T
#!{C:Group1}0 hours	0 hours	0 hours	0 hours	0 hours	0 hours	4 hours	4 hours	4 hours	4 hours	4 hours	4 hours	24 hours	24 hours	24 hours	24 hours	24 hours	24 hours																																						
26.3897037506104	25.8464202880859	26.1116371154785	24.2652893066406	25.7241897583008	26.0771236419678	25.8138942718506	26.1379585266113	25.9706192016602	25.7896995544434	25.6866436004639	26.4083881378174	26.0652751922607	25.8008728027344	24.9140663146973	23.873140335083	25.8225994110107	24.6293525695801				3	3	3	10	10	10	51.881	0	34.708	1371900000	12	35	2	2	2	1	2	2	2	2	2	3	2	2	2	2	1	1	2	1	P03911;A0A023J692;A0A023J5X7;Q9ME04;A0A023J6G6;Q7JCZ9;Q5GA75;A0A023J5Z0;A0A023J632;A0A023J654;A0A023J663;Q7JCY6;A0A023J6C5;A3R4A0;A0A0F6Q0S0;A0A141CM24;A0A0F6PZ84;A0A6M8U8E2;A0A067XKW7;B9V1K8;A0A067XKR4;A0A023J684;A0A023J6E1;A0A023J6K5;A0A023J6M1;A0A141CM50;F1JVR2;A9UIX0;K7X731;K7X7Z6;W0TGY1;A3R461;A3E4B6;Q3UPP3;A0A075DCI1;Q3UQ59	P03911;A0A023J692;A0A023J5X7;Q9ME04;A0A023J6G6;Q7JCZ9;Q5GA75;A0A023J5Z0;A0A023J632;A0A023J654;A0A023J663;Q7JCY6;A0A023J6C5;A3R4A0;A0A0F6Q0S0;A0A141CM24;A0A0F6PZ84;A0A6M8U8E2;A0A067XKW7;B9V1K8;A0A067XKR4;A0A023J684;A0A023J6E1;A0A023J6K5;A0A023J6M1;A0A141CM50;F1JVR2;A9UIX0;K7X731;K7X7Z6;W0TGY1;A3R461;A3E4B6	NADH-ubiquinone oxidoreductase chain 4	Mtnd4;ND4;mt-Nd4;Nd4	0
25.3065547943115	32.2753944396973	23.8779735565186	32.477596282959	32.4853897094727	24.5763053894043	31.981315612793	24.5721740722656	31.9764060974121	25.2667942047119	32.0509300231934	24.7425708770752	32.3405609130859	31.9569511413574	31.8896503448486	32.1672554016113	31.6774520874023	31.8085842132568				5	5	1	40.3	40.3	11.9	7.7662	0	26.746	71584000000	3	33	1	3	1	5	2	1	2	1	3	1	3	1	3	3	4	4	4	3	Q7JD02;Q7JCZ0;Q5GA80;D2J4F9;A3R456;A3R404;A3E4B1;A0A141CM32;A0A0F6PXT9;A0A023J6C2;A0A023J5Y9;P03930;A0A067XKW5;A0A6M8U8I5;A0A075DCI0	Q7JD02;Q7JCZ0;Q5GA80;D2J4F9;A3R456;A3R404;A3E4B1;A0A141CM32;A0A0F6PXT9;A0A023J6C2;A0A023J5Y9;P03930;A0A067XKW5;A0A6M8U8I5	ATP synthase protein 8	Atp8;mt-Atp8;ATP8;Mtatp8	1
27.6666164398193	27.0764312744141	27.8705005645752	27.4840068817139	27.4202117919922	27.6776123046875	27.210111618042	28.0195617675781	27.28542137146	27.7295551300049	26.9841365814209	28.0378952026367	27.4184436798096	27.3435878753662	27.2882404327393	26.8959674835205	27.3722724914551	25.060583114624				3	3	3	6.6	6.6	6.6	68.474	0	61.58	5057600000	13	42	3	2	3	3	2	2	2	2	2	2	3	2	2	2	2	2	2	1	P03921;A3R462;Q9MD82;Q3UVI0;A0A023J672;A0A023J611;A0A023J6J5;A0A023J6L2;A0A067XL99;A0A0F6PYU6;A0A141CM51;Q7JCZ8;Q7GIP3;A0A6M8U123;Q4JFM6;B9V192;A0A023J6C1;A3R488;Q3UQ68;N0DTI5;K7XJX5;B9V1K9;A0A023J627;A0A023J679;A0A075DCB1;A0A023J6A9;A0A023J6F2;A0A023J6G4;A0A023J6G8;A0A023J6I6;A0A067XKW0;A0A023J5Z8;Q3UQD2;A0A067XKN8;A0A067XKV1;A0A023J5Y5;A3E4B7;Q3TRR5;A0A023J5X2;A0A023J655;A0A141CM38;A3R4A1;Q5GA74;A0A141CM25	P03921;A3R462;Q9MD82;Q3UVI0;A0A023J672;A0A023J611;A0A023J6J5;A0A023J6L2;A0A067XL99;A0A0F6PYU6;A0A141CM51;Q7JCZ8;Q7GIP3;A0A6M8U123;Q4JFM6;B9V192;A0A023J6C1;A3R488;Q3UQ68;N0DTI5;K7XJX5;B9V1K9;A0A023J627;A0A023J679;A0A075DCB1;A0A023J6A9;A0A023J6F2;A0A023J6G4;A0A023J6G8;A0A023J6I6;A0A067XKW0;A0A023J5Z8;Q3UQD2;A0A067XKN8;A0A067XKV1;A0A023J5Y5;A3E4B7;Q3TRR5	NADH-ubiquinone oxidoreductase chain 5	Mtnd5;ND5;mt-Nd5;Nd5;mt-Nd6	2
32.1308097839355	31.7908706665039	32.0267677307129	31.9160938262939	32.0868911743164	31.8210353851318	31.7195930480957	31.9714126586914	31.8248691558838	31.8662548065186	31.4934768676758	31.7689208984375	31.8733863830566	31.6227893829346	31.8035507202148	31.6188125610352	31.748592376709	31.5842800140381				9	9	9	41	41	41	25.976	0	219.27	107570000000	8	154	6	6	6	6	6	5	5	5	7	5	4	5	5	5	5	7	5	5	Q7JD03;Q7JCZ1;Q5GA81;K7XKA7;K7XK22;A3R481;A3R455;A0A0F6PXF3;A0A075DC90;A0A023J6F3;P00405;A3E4B0;A0A023J6I7;A0A023J607;A0A023J5Y1	Q7JD03;Q7JCZ1;Q5GA81;K7XKA7;K7XK22;A3R481;A3R455;A0A0F6PXF3;A0A075DC90;A0A023J6F3;P00405;A3E4B0;A0A023J6I7;A0A023J607;A0A023J5Y1	Cytochrome c oxidase subunit 2	COX2;mt-Co2;COXII;Mtco2	3
25.7601757049561	26.2208690643311	26.403341293335	24.6463680267334	25.8644561767578	26.1188411712646	25.7982292175293	26.0785293579102	25.4802513122559	26.2166004180908	26.5404071807861	26.1020336151123	25.0479965209961	26.7470149993896	26.4879970550537	25.4166793823242	26.3579502105713	26.4268646240234				7	7	7	26.6	26.6	26.6	47.152	0	21.462	1986200000	19	50	2	3	2	2	2	3	4	4	1	4	2	2	1	5	3	2	4	2	A0A6G7SF19;A0A6G7SEK5;A0A6G6A824;A0A1V0DNR6;A0A024QYR9;O08586;Q8BSR7;Q3UUN5	A0A6G7SF19;A0A6G7SEK5;A0A6G6A824;A0A1V0DNR6;A0A024QYR9;O08586;Q8BSR7;Q3UUN5	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN	Pten	4
26.8579235076904	27.0794849395752	26.6911239624023	26.7004146575928	27.0967769622803	26.6881923675537	26.4991893768311	26.6222648620605	26.6462268829346	26.3062610626221	26.6197490692139	26.2697429656982	27.1877307891846	27.0421829223633	27.1211948394775	26.8557872772217	26.9652118682861	27.2277507781982				11	11	11	47.1	47.1	47.1	26.587	0	58.853	4875700000	13	70	7	6	4	4	3	5	4	4	5	4	3	5	6	4	5	5	2	5	A0A068BEQ2;P50171;P50171-2;G3UX44;A0A494BA51;A0A494BAF4	A0A068BEQ2;P50171;P50171-2;G3UX44;A0A494BA51;A0A494BAF4	Estradiol 17-beta-dehydrogenase 8	H2-Ke6;Hsd17b8	8
25.8761920928955	24.4522876739502	25.9358673095703	24.9456272125244	24.6323184967041	25.9197978973389	23.8179321289063	25.5982112884521	26.3232021331787	25.730318069458	24.4309825897217	26.1036567687988	25.9796295166016	25.9105186462402	26.0766754150391	26.4262561798096	26.1764183044434	26.4280471801758				7	7	7	20.1	20.1	20.1	63.45	0	60.668	2191800000	27	59	2	1	5	1	1	4	1	4	1	4	1	5	3	4	3	4	6	5	Q5D0F3;Q3TBA3;Q78E61;Q64333;Q62429;Q62428;Q3U6V4;Q3U543;A0A068BER1;P21958;F6QHF1	Q5D0F3;Q3TBA3;Q78E61;Q64333;Q62429;Q62428;Q3U6V4;Q3U543;A0A068BER1;P21958;F6QHF1	Antigen peptide transporter 1	Tap1	9
29.6210956573486	29.6426849365234	29.4785213470459	29.6909580230713	29.7596416473389	29.4923973083496	29.4573822021484	29.370943069458	29.5538215637207	29.5954475402832	29.4210147857666	29.381233215332	29.3745536804199	29.2698593139648	29.4244422912598	29.3778247833252	29.2873821258545	29.3904056549072				20	20	3	73.4	73.4	15.6	24.489	0	323.31	50452000000	15	192	12	14	11	13	13	12	11	9	13	10	13	12	9	8	12	11	12	13	Q78ZJ8;A0A068BFR3;P46638;G3UY29;E9Q3P9;F8WGS1;G3UZD3;Q3UZ37;G3UZL4;F6R2Z5;D3YYB3;Q0PD30;Q9WTL2;Q9QWU0	Q78ZJ8;A0A068BFR3;P46638;G3UY29;E9Q3P9;F8WGS1;G3UZD3;Q3UZ37;G3UZL4	Ras-related protein Rab-11B	Rab11b;Rab11a	10
